Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
3265740,3/26/2012,11:53 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
3266274,3/8/2012,2:59 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3266435,3/3/2012,10:20 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3268263,9/29/2012,1:00 PM,WORCESTER,Property damage only (none injured),MILLBURY STREET / RAMP - RT 146 NB TO MILLBURY STREET,,EXIT 12,State police
3295038,6/14/2012,10:30 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3297138,6/22/2012,12:10 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET,,,Local police
3297262,6/20/2012,3:00 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3303436,8/2/2012,3:24 PM,WORCESTER,Non-fatal injury,MILLBURY STREET,,,Local police
3348039,8/23/2012,12:45 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,Rte 20,SUNOCO DRIVEWAY,Local police
3348763,8/28/2012,11:00 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,Rte 20,,Local police
3349416,8/26/2012,7:36 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3359903,12/23/2012,11:42 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,Rte 20,,Local police
3361289,11/25/2012,11:16 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 N,,,Local police
3361470,11/20/2012,6:27 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20,,,Local police
3362561,12/2/2012,1:00 AM,WORCESTER,Non-fatal injury,GRANITE STREET,Rte 20,REM AUTO,Local police
3363182,9/6/2012,6:07 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,WENDYS,Local police
3363313,11/10/2012,7:18 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF Rte 20 W / GREENWOOD STREET,,,Local police
3363926,9/15/2012,8:22 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,,Local police
3366099,2/18/2013,3:15 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W,GREENWOOD STREET,MCDONALDS,State police
3374131,2/23/2013,4:58 PM,WORCESTER,Property damage only (none injured),GRANITE STREET / GARNET STREET,,,Local police
3374180,9/12/2011,12:45 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,,AT THE GETTY GAS STATION,State police
3375725,2/6/2013,10:36 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,,Local police
3380136,12/2/2012,5:10 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / SOUTHWEST CUTOFF,,,Local police
3384809,1/12/2013,1:21 AM,WORCESTER,Property damage only (none injured),Rte 20 / MASSASOIT ROAD,,,Local police
3384876,8/1/2012,4:25 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte US20,,JUNIORS AUTO SALES,State police
3386040,1/18/2013,4:25 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3386077,1/18/2013,7:30 AM,WORCESTER,Non-fatal injury,Rte 20 / GRANITE STREET,,,Local police
3386632,1/22/2013,4:30 PM,WORCESTER,Property damage only (none injured),SOUTHOLD ROAD,,,Local police
3386636,1/22/2013,11:20 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
